year,auc,accuracy,precision,recall,true_positives,false_positives,false_negatives,NDCG_at_k,precision_JAR,sensitivity
2003.0,0.7797209311447119,0.9869587025581007,0.2,0.043478260869565216,3.0,12.0,66.0,0.08341815575454345,0.0847457627118644,0.07246376811594203
2004.0,0.7726461820145067,0.9888776541961577,0.25,0.06896551724137931,4.0,12.0,54.0,0.132690822606701,0.13559322033898305,0.13793103448275862
2005.0,0.6899392689354875,0.9923247484223094,0.5,0.022222222222222223,1.0,1.0,44.0,0.11067757234280612,0.08620689655172414,0.1111111111111111
2006.0,0.7515151515151515,0.9862897765741367,0.038461538461538464,0.06060606060606061,2.0,50.0,31.0,0.02460228289141364,0.03389830508474576,0.06060606060606061
2007.0,0.7003197442046363,0.9947171097477846,0.3333333333333333,0.03333333333333333,1.0,2.0,29.0,0.04991634077191054,0.034482758620689655,0.06666666666666667
2008.0,0.5856468093310199,0.9939415538132573,0.1,0.038461538461538464,1.0,9.0,25.0,0.020739164681740883,0.017857142857142856,0.038461538461538464
