year,auc,accuracy,precision,recall,true_positives,false_positives,false_negatives,NDCG_at_k,precision_JAR,sensitivity
2003.0,0.7935665117373655,0.9877946831633506,0.16666666666666666,0.014492753623188406,1.0,5.0,68.0,0.14976508508194938,0.1694915254237288,0.14492753623188406
2004.0,0.8055503391939156,0.9897202561509942,0.2857142857142857,0.034482758620689655,2.0,5.0,56.0,0.11041087035388962,0.0847457627118644,0.08620689655172414
2005.0,0.7857874030785684,0.9899368923759168,0.1111111111111111,0.044444444444444446,2.0,16.0,43.0,0.04769782001506326,0.05172413793103448,0.06666666666666667
2006.0,0.7898491295938105,0.9306025727826676,0.02518891687657431,0.30303030303030304,10.0,387.0,23.0,0.0,0.0,0.0
2007.0,0.7384834989151536,0.8945126107702794,0.016420361247947456,0.3333333333333333,10.0,599.0,20.0,0.0,0.0,0.0
2008.0,0.704536065438321,0.9542052744119743,0.016736401673640166,0.15384615384615385,4.0,235.0,22.0,0.0,0.0,0.0
