year,auc,accuracy,precision,recall,true_positives,false_positives,false_negatives,NDCG_at_k,precision_JAR,sensitivity
2003.0,0.7183792237845894,0.9730814245109514,0.0660377358490566,0.10144927536231885,7.0,99.0,62.0,0.04076681103706372,0.05084745762711865,0.043478260869565216
2004.0,0.7165559493908594,0.9865183687226154,0.07692307692307693,0.034482758620689655,2.0,24.0,56.0,0.043676804586868026,0.05084745762711865,0.05172413793103448
2005.0,0.6707192238646346,0.9880607197680369,0.037037037037037035,0.022222222222222223,1.0,26.0,44.0,0.014568060379130698,0.017241379310344827,0.022222222222222223
2006.0,0.7192469374597035,0.9773188896411645,0.028037383177570093,0.09090909090909091,3.0,104.0,30.0,0.012918815218322341,0.01694915254237288,0.030303030303030304
2007.0,0.69137261619276,0.9107021131561008,0.01568627450980392,0.26666666666666666,8.0,502.0,22.0,0.0,0.0,0.0
2008.0,0.7029386653446804,0.9932287954383464,0.07142857142857142,0.038461538461538464,1.0,13.0,25.0,0.02263325536455787,0.017857142857142856,0.038461538461538464
