method,auc,NDCG_at_k,sensitivity,precision
Logit,0.640,0.027,0.03345,0.028450000000000003
RUSBoost,0.770,0.051,0.04963,0.05099
Random Forest,0.798,0.143,0.15192,0.11706
SVM,0.638,0.024,0.03057,0.025619999999999997
XGBoost,0.760,0.099,0.09634000000000001,0.07687000000000001
