year,auc,accuracy,precision,recall,true_positives,false_positives,false_negatives,NDCG_at_k,precision_JAR,sensitivity
2003.0,0.7789046106175599,0.9884634676475506,0.5,0.014492753623188406,1.0,1.0,68.0,0.10358813365941079,0.0847457627118644,0.07246376811594203
2004.0,0.7880624867960846,0.9740478597910347,0.08620689655172414,0.1724137931034483,10.0,106.0,48.0,0.041119214811831714,0.05084745762711865,0.05172413793103448
2005.0,0.7491959818188764,0.9895957700835749,0.05555555555555555,0.022222222222222223,1.0,17.0,44.0,0.016486589412556464,0.017241379310344827,0.022222222222222223
2006.0,0.7544397163120568,0.9656398104265402,0.02247191011235955,0.12121212121212122,4.0,174.0,29.0,0.0,0.0,0.0
2007.0,0.7340413383578851,0.9405248807089298,0.023880597014925373,0.26666666666666666,8.0,327.0,22.0,0.012059506902607674,0.017241379310344827,0.03333333333333333
2008.0,0.699681897050318,0.9422665716322167,0.016233766233766232,0.19230769230769232,5.0,303.0,21.0,0.0,0.0,0.0
