year,auc,accuracy,precision,recall,true_positives,false_positives,false_negatives,NDCG_at_k,precision_JAR,sensitivity
2003.0,0.7324822027416603,0.9877946831633506,0.25,0.028985507246376812,2.0,6.0,67.0,0.07480041823613448,0.06779661016949153,0.057971014492753624
2004.0,0.7102298068120467,0.9850016852039096,0.05714285714285714,0.034482758620689655,2.0,33.0,56.0,0.02811818115000836,0.03389830508474576,0.034482758620689655
2005.0,0.6693518200221535,0.9798737847518335,0.04938271604938271,0.08888888888888889,4.0,77.0,41.0,0.014568060379130698,0.017241379310344827,0.022222222222222223
2006.0,0.6194352030947776,0.9881516587677726,0.02564102564102564,0.030303030303030304,1.0,38.0,32.0,0.013005291153163984,0.01694915254237288,0.030303030303030304
2007.0,0.5471679799017929,0.9487048398091343,0.014336917562724014,0.13333333333333333,4.0,275.0,26.0,0.0,0.0,0.0
2008.0,0.5507036822826297,0.9861012116892374,0.018518518518518517,0.038461538461538464,1.0,53.0,25.0,0.012409835332733496,0.017857142857142856,0.038461538461538464
